"-OR-","-ATAU-"
"Some PayPal solutions conflict.","Some PayPal solutions conflict."
"Sorry, no quotes are available for this order at this time.","Maaf, tidak ada harga yang tersedia untuk pesanan ini saat ini "."
"Sort Order","Urutan sortir"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"State/Province","Negara/Provinsi"
"Static","Statis"
"Street Address","Alamat Jalan"
"Street Address %s","Alamat Jalan %s"
"Submitting order information...","Mengirimkan informasi pemesanan..."
"Subscriber name is too long.","Nama Pelanggan terlalu Panjang."
"Subscription ID","ID berlangganan"
"Subscription Payment, either payment sent or payment received","Pembayaran Berlangganan, baik pembayaran dikirim atau pembayaran diterima"
"Subtotal","Subtotal"
"Summary Text for Aggregated Cart","Teks ringkasan untuk penggabungan keranjang"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Beralih/Maestro"
"Telephone","Telepon"
"Test Mode","Mode tes"
"The background color for the checkout page around the header and payment form.","Warna background untuk halaman checkout sekitar header dan bentuk pembayaran."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase."
"The following error(s) occured:","The following error(s) occured:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"The maximum number of child authorizations is reached.","Jumlah maksimum otorisasi anak tercapai."
"The merchant account is not yet verified.","Rekening pedagang belum diverifikasi."
"The payment curency does not match any of the merchant\'s balances currency.","pembayaran kurs tidak dapat ditemukan pada mata uang pedagang saldo."
"The payment eCheck is not yet cleared.","Pembayaran eCheck belum dihapus"
"The payment is authorized but not settled.","Pembayaran disahkan tetapi tidak diselesaikan."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Pembayaran tertunda karena dibuat ke alamat email yang belum terdaftar atau dikukuhkan."
"The payment is pending while it is being reviewed by PayPal for risk.","Pembayaran tertunda ketika sedang ditinjau oleh PayPal untuk risiko."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"There is already another PayPal solution enabled. Enable this solution instead?","There is already another PayPal solution enabled. Enable this solution instead?"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"This operation requires an existing transaction object.","Operasi ini membutuhkan obyek transaksi yang ada "."
"Time of Day","Waktu dari hari"
"Title","Judul"
"Transaction ID","ID Transaksi"
"Transaction ID must not be empty.","ID transaksi tidak boleh kosong."
"Transaction Information","Informasi transaksi"
"Transaction reversal by PayPal administrators.","Transaction reversal by PayPal administrators."
"Transaction reversal due to fraud detected by PayPal administrators.","Transaction reversal due to fraud detected by PayPal administrators."
"Transfer Cart Line Items","Transfer baris keranjang barang"
"Transfer Shipping Options","Pilihan pengiriman transfer"
"Triggered Fraud Filters","Yang dipicu filter penipuan"
"URL method for Cancel URL and Return URL","URL method for Cancel URL and Return URL"
"Unable to cancel Express Checkout.","Tidak dapat membatalkan Checkout Ekspres."
"Unable to change status. Current status is not correspond to real status.","Unable to change status. Current status is not correspond to real status."
"Unable to communicate with the PayPal gateway.","Tidak dapat berkomunikasi dengan gateway PayPal."
"Unable to initialize Express Checkout review.","Tidak dapat menginisialisasi meninjau Checkout Ekspres."
"Unable to initialize Express Checkout.","Tidak dapat menginisialisasi Express Checkout."
"Unable to place the order.","Tidak dapat menempatkan pesanan."
"Unable to process Express Checkout approval.","Tidak dapat memproses persetujuan Ekspres Checkout."
"Unable to start Express Checkout.","Tidak dapat memulai Ekspres Checkout."
"Unable to update Order data.","Unable to update Order data."
"Unable to update shipping method.","Tidak dapat memperbarui metode pengiriman."
"Unknown Error. Please try again later.","Error tidak dikenal Please try again later."
"Unknown reason. Please contact PayPal customer service.","Unknown reason. Please contact PayPal customer service."
"Update Order Data","Update Order Data"
"Use Proxy","Gunakan Proxy"
"Use colon to specify port. For example: ""test.example.com:5224"".","Use colon to specify port. For example: ""test.example.com:5224""."
"User","Pengguna"
"User-initiated Currency Conversion","User-dimulai Konversi Mata Uang"
"Uses store frontend name by default.","Menggunakan nama toko antarmuka pada pengaturan standar."
"VAT Number","VAT Number"
"Vendor","Vendor"
"View","Lihat"
"View Demo","Demo tampilan"
"View Transaction","Tampilkan Transaksi"
"View Transaction Details","Lihat detil transaksi"
"Virtual PayPal Debit Card Transaction","Kartu Debit Virtual Transaksi PayPal"
"Virtual Terminal Payment","Pembayaran terminal virtual"
"Void","Batal"
"Waiting until Customer\'s eCheck will be cleared.","Waiting until Customer\'s eCheck will be cleared."
"We prefer PayPal (150 X 40)","Kami lebih memilih PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Kami lebih memilih PayPal (150 X 60)"
"Website Payments Plus","Situs Pembayaran plus"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (Includes Express Checkout)"
"Website Payments Pro Hosted Solution","Situs Pembayaran Solusi Hosted Pro"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Website Payments Pro Hosted Solution (Includes Express Checkout)"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution and Express Checkout"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Website Payments Pro Payflow Edition (Includes Express Checkout)"
"Website Payments Pro Payflow Edition and Express Checkout","Website Payments Pro Payflow Edition and Express Checkout"
"Website Payments Pro and Express Checkout","Website Payments Pro and Express Checkout"
"Website Payments Standard","Situs pembayaran standar."
"Website Payments Standard Payment","situs pembayaran standar pembayaran."
"What is PayPal?","Apa itu paypal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Baik untuk membuat perjanjian penagihan, jika tidak ada perjanjian penagihan aktif yang tersedia."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Akan muncul sebagai pilihan pembayaran hanya untuk pelanggan yang memiliki setidaknya satu perjanjian penagihan aktif."
"WorldLink Withdrawal","Penarikan worldlink"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Apakah Anda ingin menandatangani perjanjian penagihan untuk merampingkan pembelian lebih lanjut dengan PayPal?"
"Wrong Order ID (%s) specified.","Wrong Order ID (%s) specified."
"Wrong PayPal Express Checkout Token specified.","Kesalahan Checkout Expres PayPal Token ditentukan."
"Yes","Ya"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"You cannot void a verification transaction","You cannot void a verification transaction"
"You will be redirected to the PayPal website in a few seconds.","Anda akan diarahkan pada Website PayPal dalam beberapa detik."
"You will be redirected to the PayPal website when you place an order.","Anda akan diarahkan ke situs PayPal saat Anda memesan."
"You will be redirected to the PayPal website.","Anda akan diarahkan ke situs PayPal."
"You will be required to enter your payment details after you place an order.","Anda akan diminta untuk memasukkan rincian pembayaran setelah Anda melakukan pemesanan."
"Zip/Postal Code","Zip/Kode Pos"
"chargeback reimbursed","chargeback reimbursed"
"chargeback settled","chargeback settled"
"customer complaint","customer complaint"
"customer triggered a chargeback","customer triggered a chargeback"
"customer triggered money-back guarantee","customer triggered money-back guarantee"
"eBay Auction Payment","Pembayaran lelang eBay"
"merchant refunded payment","merchant refunded payment"
"no reason","no reason"
"reversal of an adjustment","reversal of an adjustment"
"unknown reason","unknown reason"
